pair,criterion,judge 1,judge 2,judge 3,judge 4,judge 5,judge 6,judge 7
1,Program,5.6,5.5,5.8,5.3,5.6,5.2,5.7
1,Performance,5.6,5.5,5.8,4.7,5.7,5.3,5.4
2,Program,5.5,5.2,5.8,5.8,5.6,5.1,5.8
2,Performance,5.5,5.7,5.6,5.4,5.5,5.3,5.7
3,Program,6,5.3,5.8,5,5.4,5.1,5.3
3,Performance,6,5.5,5.7,4.9,5.5,5.2,5.7
4,Program,5.6,5.3,5.8,4.4,4.5,5,5.1
4,Performance,5.6,5.3,5.8,4.8,4.5,5,5.5
5,Program,5.4,4.5,5.8,4,5.5,4.8,5.5
5,Performance,4.8,4.8,5.5,4.4,4.6,4.8,5.2
6,Program,5.2,5.1,5.3,5.4,4.5,4.5,5
6,Performance,4.8,5.6,5,4.7,4,4.6,5.2
7,Program,4.8,4,4.7,4,3.7,4,4.8
7,Performance,4.3,4.6,4.5,4,3.6,4,4.8
