pair,criterion,rating,judge
1,Program,5.6,judge 1
1,Performance,5.6,judge 1
2,Program,5.5,judge 1
2,Performance,5.5,judge 1
3,Program,6,judge 1
3,Performance,6,judge 1
4,Program,5.6,judge 1
4,Performance,5.6,judge 1
5,Program,5.4,judge 1
5,Performance,4.8,judge 1
6,Program,5.2,judge 1
6,Performance,4.8,judge 1
7,Program,4.8,judge 1
7,Performance,4.3,judge 1
1,Program,5.5,judge 2
1,Performance,5.5,judge 2
2,Program,5.2,judge 2
2,Performance,5.7,judge 2
3,Program,5.3,judge 2
3,Performance,5.5,judge 2
4,Program,5.3,judge 2
4,Performance,5.3,judge 2
5,Program,4.5,judge 2
5,Performance,4.8,judge 2
6,Program,5.1,judge 2
6,Performance,5.6,judge 2
7,Program,4,judge 2
7,Performance,4.6,judge 2
1,Program,5.8,judge 3
1,Performance,5.8,judge 3
2,Program,5.8,judge 3
2,Performance,5.6,judge 3
3,Program,5.8,judge 3
3,Performance,5.7,judge 3
4,Program,5.8,judge 3
4,Performance,5.8,judge 3
5,Program,5.8,judge 3
5,Performance,5.5,judge 3
6,Program,5.3,judge 3
6,Performance,5,judge 3
7,Program,4.7,judge 3
7,Performance,4.5,judge 3
1,Program,5.3,judge 4
1,Performance,4.7,judge 4
2,Program,5.8,judge 4
2,Performance,5.4,judge 4
3,Program,5,judge 4
3,Performance,4.9,judge 4
4,Program,4.4,judge 4
4,Performance,4.8,judge 4
5,Program,4,judge 4
5,Performance,4.4,judge 4
6,Program,5.4,judge 4
6,Performance,4.7,judge 4
7,Program,4,judge 4
7,Performance,4,judge 4
1,Program,5.6,judge 5
1,Performance,5.7,judge 5
2,Program,5.6,judge 5
2,Performance,5.5,judge 5
3,Program,5.4,judge 5
3,Performance,5.5,judge 5
4,Program,4.5,judge 5
4,Performance,4.5,judge 5
5,Program,5.5,judge 5
5,Performance,4.6,judge 5
6,Program,4.5,judge 5
6,Performance,4,judge 5
7,Program,3.7,judge 5
7,Performance,3.6,judge 5
1,Program,5.2,judge 6
1,Performance,5.3,judge 6
2,Program,5.1,judge 6
2,Performance,5.3,judge 6
3,Program,5.1,judge 6
3,Performance,5.2,judge 6
4,Program,5,judge 6
4,Performance,5,judge 6
5,Program,4.8,judge 6
5,Performance,4.8,judge 6
6,Program,4.5,judge 6
6,Performance,4.6,judge 6
7,Program,4,judge 6
7,Performance,4,judge 6
1,Program,5.7,judge 7
1,Performance,5.4,judge 7
2,Program,5.8,judge 7
2,Performance,5.7,judge 7
3,Program,5.3,judge 7
3,Performance,5.7,judge 7
4,Program,5.1,judge 7
4,Performance,5.5,judge 7
5,Program,5.5,judge 7
5,Performance,5.2,judge 7
6,Program,5,judge 7
6,Performance,5.2,judge 7
7,Program,4.8,judge 7
7,Performance,4.8,judge 7
